sentence,label
"Are New York's Bike Lanes Working? Mayor Koch's bicycle network died quickly. Mayor Bloomberg's is remaking the streets of the city. What is the verdict so far? The parking problems caused by the bike lanes are ruining attractions. And since fewer tourists at attractions is best for New Yorkers, New York's bike lanes are not working.",1
"Should Home-Schoolers Play for High School Teams? Home-schoolers may not want their children in the classroom but they'd like to see them on the football field. Is that their right? If they play for high school team maybe they can overcome the prejudice of being home schooled. And since there are prejudices that need to be overcome as a home schooled student, Home-schoolers should play for high school teams.",0
"Should Home-Schoolers Play for High School Teams? Home-schoolers may not want their children in the classroom but they'd like to see them on the football field. Is that their right? If they play for high school team maybe they can overcome the prejudice of being home schooled. And since there is no prejudice that needed to be overcome as a home schooled student, Home-schoolers should play for high school teams.",1
"Is Veganism Good For Everyone? Maybe some of us simply weren't built to be vegans. Is the diet good for everyone? Humans are naturally omnivorous, as dictated by our physiological needs, and veganism is a health risk. And since vegans can't figure out how to eat without being at risk, Veganism is not good for everyone.",0
"Is Veganism Good For Everyone? Maybe some of us simply weren't built to be vegans. Is the diet good for everyone? Humans are naturally omnivorous, as dictated by our physiological needs, and veganism is a health risk. And since vegans can figure out how to eat without being at risk, Veganism is not good for everyone.",1
"Should High School Last Six Years? President Obama recently visited a six-year high school, highlighting it as a model for the rest of the U.S. Should it be replicated? It can provide more vocational training which will better prepare students to handle their future jobs better. And since we really need more trades people, High school should last six years.",0
"Should High School Last Six Years? President Obama recently visited a six-year high school, highlighting it as a model for the rest of the U.S. Should it be replicated? It can provide more vocational training which will better prepare students to handle their future jobs better. And since we really don't that many tradespeople, High school should last six years.",1
"Has Support for Israel Hurt U.S. Credibility? Is support for Israel so entrenched in American politics that the U.S. has lost credibility and influence in the Middle East? Israel doesn't appreciate what we give them. And since supporting an unappreciative country only makes the US look dumb and stingy, Supporting Israel hurts.",0
"Has Support for Israel Hurt U.S. Credibility? Is support for Israel so entrenched in American politics that the U.S. has lost credibility and influence in the Middle East? Israel doesn't appreciate what we give them. And since supporting an unappreciative country only makes the US look selfless and charitable, Supporting Israel hurts.",1
"Did Colorado Go Too Far With Pot? Was the move to legalize marijuana done too quickly? Do changes need to be made to their approach? A regulated market has replaced an unregulated and dangerous black market. And since a regulated market deters children from getting involved, Colorado didn't go too far with pot.",0
"Did Colorado Go Too Far With Pot? Was the move to legalize marijuana done too quickly? Do changes need to be made to their approach? A regulated market has replaced an unregulated and dangerous black market. And since a dangerous market deters children from getting involved, Colorado didn't go too far with pot.",1
"Should Salt Have a Place at the Table? More restaurants have been doing without salt shakers. Some chefs say that's sensible. Some diners find it annoying. Salt shakers permit diners to control the amount of salt in their food. And since people go out to eat when they want control over what they're shoving into their mouth, Salt should have a place at the table.",0
"Should Salt Have a Place at the Table? More restaurants have been doing without salt shakers. Some chefs say that's sensible. Some diners find it annoying. Salt shakers permit diners to control the amount of salt in their food. And since no one goes out to eat if they want control over what they're shoving into their mouth, Salt should have a place at the table.",1
"Are Reality Shows Worse Than Other TV? Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama? Reality shows cause me to die a little whenever I see them advertised even though I have watched them at times. And since I mind watching bad tv, Reality shows are worse than other TV.",0
"Are Reality Shows Worse Than Other TV? Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama? Reality shows cause me to die a little whenever I see them advertised even though I have watched them at times. And since I die a little but still don't mind bad tv, Reality shows are worse than other TV.",1
"Dropping the Ball Should more undergraduate schools follow in the footsteps of Spelman College and consider dropping intercollegiate sports programs? Intramural and interscholastic have a place but not college sports which just train athletes for professional teams. And since we do not need athletes to be trained for professional teams, Drop sports program in undergraduate schools.",0
"Dropping the Ball Should more undergraduate schools follow in the footsteps of Spelman College and consider dropping intercollegiate sports programs? Intramural and interscholastic have a place but not college sports which just train athletes for professional teams. And since we need athletes to be trained for professional teams, Drop sports program in undergraduate schools.",1
"If Police Encounters Were Filmed Should police officers be required to wear cameras that record their interactions with the public? Cameras should monitor police officers 24/7. And since police officers have no right to privacy in many situations., Police officers should be required to wear cameras.",0
"If Police Encounters Were Filmed Should police officers be required to wear cameras that record their interactions with the public? Cameras should monitor police officers 24/7. And since police officers also have the right to privacy in many situations., Police officers should be required to wear cameras.",1
"Is Privatization a Bad Deal for Cities and States? To save money, New York is turning the clock back on outsourcing by replacing private contractors with city workers. The only interest of the private sector is the bottom line profits. And since money will not be saved all the way around, Privatization is a bad deal for cities and states.",0
"Is Privatization a Bad Deal for Cities and States? To save money, New York is turning the clock back on outsourcing by replacing private contractors with city workers. The only interest of the private sector is the bottom line profits. And since money will be saved all the way around, Privatization is a bad deal for cities and states.",1
"Is Veganism Good For Everyone? Maybe some of us simply weren't built to be vegans. Is the diet good for everyone? Vegan options like juices and replacement items are enriched with vitamins. And since it's a good diet that shouldn't have to be helped with vitamins, Veganism is good for everyone.",0
"Is Veganism Good For Everyone? Maybe some of us simply weren't built to be vegans. Is the diet good for everyone? Vegan options like juices and replacement items are enriched with vitamins. And since a good diet shouldn't have to be helped with vitamins, Veganism is good for everyone.",1
"Are Big Banks Out of Control? Does the lack of legal compliance that have cost banks billions in fines show that some have gotten too big to manage properly? They operate in such a large economy that it makes it almost impossible for smaller banks to succeed. And since this large economy doesn't provide boosts for the entire country's economy, Big banks are out of control.",0
"Are Big Banks Out of Control? Does the lack of legal compliance that have cost banks billions in fines show that some have gotten too big to manage properly? They operate in such a large economy that it makes it almost impossible for smaller banks to succeed. And since this large economy provides boosts for the entire country's economy, Big banks are out of control.",1
"Should the U.S. Keep Selling Arms to Taiwan? The U.S. approved a $5.8 billion arms sale to Taiwan over China's protests. What are the consequences? There is no reason we shouldn't sell reasonable defensive arms to Taiwan. And since arms sold to Taiwan are not used for offensive, but defensive purposes, Keep selling arms to Taiwan.",0
"Should the U.S. Keep Selling Arms to Taiwan? The U.S. approved a $5.8 billion arms sale to Taiwan over China's protests. What are the consequences? There is no reason we shouldn't sell reasonable defensive arms to Taiwan. And since arms sold to Taiwan are not used for defensive, but offensive purposes, Keep selling arms to Taiwan.",1
"Do Home Schoolers Deserve a Tax Break? Some conservatives want a federal credit for families who teach their children at home. What are its chances in the new Congress? It undermines public education and emphasizes religious values over facts even though the two can easily co-exist. And since the two hardly co exist, Home schoolers do not deserve a tax break.",0
"Do Home Schoolers Deserve a Tax Break? Some conservatives want a federal credit for families who teach their children at home. What are its chances in the new Congress? It undermines public education and emphasizes religious values over facts even though the two can easily co-exist. And since the two can so easily co exist, Home schoolers do not deserve a tax break.",1
"Are Reality Shows Worse Than Other TV? Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama? Reality shows fake misery, drama, and embarrassment and pretend as though it is real. And since Overdramatizing simple events and names is in no way more entertaining, Reality shows are worse than other TV.",0
"Are Reality Shows Worse Than Other TV? Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama? Reality shows fake misery, drama, and embarrassment and pretend as though it is real. And since Overdramatizing simple events and names is in a way more entertaining, Reality shows are worse than other TV.",1
"Do We Still Need Libraries? What are libraries for, and how should they evolve? Libraries provide a venue for a number of desirable individual and shared life-enhancing activities. And since this can't be found in other buildings and online venues, We need libraries.",0
"Do We Still Need Libraries? What are libraries for, and how should they evolve? Libraries provide a venue for a number of desirable individual and shared life-enhancing activities. And since this can be found in other buildings and online venues, We need libraries.",1
"Is an Attack on Syria Justified? Should the United States and its allies launch air strikes against Syria in response to the Assad regime's reported use of chemical weapons? Not our fight. And since it is not NATO's fight and the US belongs to NATO, US should not attack Syria.",0
"Is an Attack on Syria Justified? Should the United States and its allies launch air strikes against Syria in response to the Assad regime's reported use of chemical weapons? Not our fight. And since it is NATO's fight and the US belongs to NATO, US should not attack Syria.",1
"Should the Government Grade Colleges? Should the government rate colleges to hold them accountable for graduation rates, student debt and access for the poor and minorities? A ratings solution, while messy, would be better than nothing. And since a solution would encourage the search for a better solution later, Government should grade colleges.",0
"Should the Government Grade Colleges? Should the government rate colleges to hold them accountable for graduation rates, student debt and access for the poor and minorities? A ratings solution, while messy, would be better than nothing. And since a solution better than nothing would discourage the search for a better solution later, Government should grade colleges.",1
"Do Colleges Need French Departments? With humanities programs being cut at many universities, what do students stand to lose? Liberal arts provide knowledge to learn creative thinking, reading, and writing which are important to many career paths. And since They can learn critical thinking In humanities courses, Colleges need humanities programs.",0
"Do Colleges Need French Departments? With humanities programs being cut at many universities, what do students stand to lose? Liberal arts provide knowledge to learn creative thinking, reading, and writing which are important to many career paths. And since They can learn critical thinking In psychology courses, Colleges need humanities programs.",1
"Do We Still Need Libraries? What are libraries for, and how should they evolve? Libraries provide internet for those that need it to do homework, find employment, and file taxes. And since few people have internet, We need libraries.",0
"Do We Still Need Libraries? What are libraries for, and how should they evolve? Libraries provide internet for those that need it to do homework, find employment, and file taxes. And since most people have internet, We need libraries.",1
"Are New York's Bike Lanes Working? Mayor Koch's bicycle network died quickly. Mayor Bloomberg's is remaking the streets of the city. What is the verdict so far? One can avoid and improve heavy traffic by using public transportation or biking. And since the bike lanes are designed well enough to really serve their purpose and encourage biking, New York's bike lanes are working.",0
"Are New York's Bike Lanes Working? Mayor Koch's bicycle network died quickly. Mayor Bloomberg's is remaking the streets of the city. What is the verdict so far? One can avoid and improve heavy traffic by using public transportation or biking. And since the bike lanes are not designed well enough to really serve their purpose and encourage biking, New York's bike lanes are working.",1
"Is Public Preschool a Smart Investment? Would quality child care that included a preschool curriculum be a better national goal? This will cause more government interference in peoples lives relegating parents to a secondary role. And since parents  need to come first for their children, Public preschool is not a smart investment.",0
"Is Public Preschool a Smart Investment? Would quality child care that included a preschool curriculum be a better national goal? This will cause more government interference in peoples lives relegating parents to a secondary role. And since parents don't need to come first for their children, Public preschool is not a smart investment.",1
"Do We Need to Hear From the Candidate's Spouse? What role should spouses of the nominees play at conventions? Is it appropriate (or useful) for them to give speeches? The spouse opinion may not be relevant to the campaign of the president. And since it is bad to focus on things that are not relevant, We don't need to hear from candidate's spouse.",0
"Do We Need to Hear From the Candidate's Spouse? What role should spouses of the nominees play at conventions? Is it appropriate (or useful) for them to give speeches? The spouse opinion may not be relevant to the campaign of the president. And since it is fun to focus on things that are not relevant, We don't need to hear from candidate's spouse.",1
"Will Electric Cars Finally Succeed? Are plug-in cars the future, or will high cost and other technologies eclipse their promise? Having such high interest in a foundling industry with the economy struggling is proof of the electric cars viability. And since together everybody can defeat the oil interests, Electric cars will succeed.",0
"Will Electric Cars Finally Succeed? Are plug-in cars the future, or will high cost and other technologies eclipse their promise? Having such high interest in a foundling industry with the economy struggling is proof of the electric cars viability. And since nobody can defeat the oil interests, Electric cars will succeed.",1
"Should Affirmative Action Be Based on Income? Will the Supreme Court decision on race-based preferences push colleges to resort to less effective methods to promote to diversity? If race is such a big part of the economic hardships and the reasons people are denied opportunities, then economic based actions would be a better solution. And since we want better solutions, Affirmative actions should be based on income.",0
"Should Affirmative Action Be Based on Income? Will the Supreme Court decision on race-based preferences push colleges to resort to less effective methods to promote to diversity? If race is such a big part of the economic hardships and the reasons people are denied opportunities, then economic based actions would be a better solution. And since we don't want better solutions, Affirmative actions should be based on income.",1
"Are Casinos Too Much of a Gamble? Do the economic and fiscal benefits of casinos outweigh their social and economic costs? [They] are short term fix that quickly fades. And since short term fixes require much effort, Casinos are too much of a gamble.",0
"Are Casinos Too Much of a Gamble? Do the economic and fiscal benefits of casinos outweigh their social and economic costs? [They] are short term fix that quickly fades. And since short term fixes require little effort, Casinos are too much of a gamble.",1
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Internships are abused by employers and they should be monitored for misuse. And since college students do not need to see how the ""real world"" is going to be, Unpaid internship exploit college students.",0
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Internships are abused by employers and they should be monitored for misuse. And since college students need to see how the ""real world"" is going to be, Unpaid internship exploit college students.",1
"Are Reality Shows Worse Than Other TV? Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama? Criticism needs to be strongly raised when a reality show is sexist, racist, or misogynistic. And since other shows are held accountable via ratings and reviews when they cross the line and reality shows do not face the same consequences, Reality shows are worse than other TV.",0
"Are Reality Shows Worse Than Other TV? Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama? Criticism needs to be strongly raised when a reality show is sexist, racist, or misogynistic. And since other shows are held accountable via ratings and reviews when they cross the line, reality shows face the same consequences, Reality shows are worse than other TV.",1
"Should the U.S. Work With Assad to Fight ISIS? Is the militant group such a threat to the United States that working with the despised Syrian dictator would be in the national interest? Working with Assad will help defeat radical islamists And since we do not need the islamists as scapegoats to unify the country, The U.S. should work with Assad to fight ISIS.",0
"Should the U.S. Work With Assad to Fight ISIS? Is the militant group such a threat to the United States that working with the despised Syrian dictator would be in the national interest? Working with Assad will help defeat radical islamists And since we need the islamists as scapegoats to unify the country, The U.S. should work with Assad to fight ISIS.",1
"Can Young Students Learn From Online Classes? Online courses are increasingly common in high schools and middle schools. Is this the best way to teach that age group? Online courses should only be used as a low quality cost savings measure. And since cost saving methods can't make education available to everyone, Online classes are not the best way to teach.",0
"Can Young Students Learn From Online Classes? Online courses are increasingly common in high schools and middle schools. Is this the best way to teach that age group? Online courses should only be used as a low quality cost savings measure. And since cost saving methods make education available to everyone, Online classes are not the best way to teach.",1
"Should All Immigrants Get ID Cards? Should cities issue identification for anyone who has no passport or driver's license, even if they are not in the country legally? Giving all immigrants ID cards would allow police to get information about people from their home country. And since people want the police to know their information, All immigrants should get ID cards.",0
"Should All Immigrants Get ID Cards? Should cities issue identification for anyone who has no passport or driver's license, even if they are not in the country legally? Giving all immigrants ID cards would allow police to get information about people from their home country. And since people don't want the police to know their information, All immigrants should get ID cards.",1
"Will Greece Destroy the Euro Zone? The collapse of the Papandreou government may undo European efforts to restructure debt and hold the union together. Greece cannot support its own economy and is bringing the Euro down. And since I believe the Euro cannot handle it, Greece will destroy the Euro Zone.",0
"Will Greece Destroy the Euro Zone? The collapse of the Papandreou government may undo European efforts to restructure debt and hold the union together. Greece cannot support its own economy and is bringing the Euro down. And since I believe the Euro can handle it, Greece will destroy the Euro Zone.",1
"Can Dual Citizens Be Good Americans? Should dual citizenship be allowed? The pros and cons of pledging allegiance to more than one country. America has more opportunity, but people are still loyal to their homes. And since we can have citizens being loyal to their home country, Dual citizenship should be allowed.",0
"Can Dual Citizens Be Good Americans? Should dual citizenship be allowed? The pros and cons of pledging allegiance to more than one country. America has more opportunity, but people are still loyal to their homes. And since we can't have citizens being loyal to their home country, Dual citizenship should be allowed.",1
"Is Cursive Dead? New public school curriculum standards in the U.S. do not require the teaching of cursive. But should students be taught it anyway? I have poor handwriting and  mainly use technology but cursive writing still feels important to me. And since facts and actual use are less important than base sentimentality, Students should be taught cursive.",0
"Is Cursive Dead? New public school curriculum standards in the U.S. do not require the teaching of cursive. But should students be taught it anyway? I have poor handwriting and  mainly use technology but cursive writing still feels important to me. And since facts and actual use are more important than base sentimentality, Students should be taught cursive.",1
"Should the U.S. Work With Assad to Fight ISIS? Is the militant group such a threat to the United States that working with the despised Syrian dictator would be in the national interest? The U.S. should support the Kurds only. And since Assad is only half Kurdish on his mother's side and not a true Kurd, The U.S. should not work with Assad to fight ISIS.",0
"Should the U.S. Work With Assad to Fight ISIS? Is the militant group such a threat to the United States that working with the despised Syrian dictator would be in the national interest? The U.S. should support the Kurds only. And since Assad is half Kurdish on his mother's side, The U.S. should not work with Assad to fight ISIS.",1
"Do We Still Need Libraries? What are libraries for, and how should they evolve? The library brings community together as a center for development. And since there are not regular city meetings to bring the community together nor are there numerous events, We need libraries.",0
"Do We Still Need Libraries? What are libraries for, and how should they evolve? The library brings community together as a center for development. And since there are regular city meetings to bring the community together as well as numerous events, We need libraries.",1
"Are Big Banks Out of Control? Does the lack of legal compliance that have cost banks billions in fines show that some have gotten too big to manage properly? The government is regulated by banks and corporations instead of governments actually regulating banks. And since they don't seem to be regulating themselves well enough, Big banks are out of control.",0
"Are Big Banks Out of Control? Does the lack of legal compliance that have cost banks billions in fines show that some have gotten too big to manage properly? The government is regulated by banks and corporations instead of governments actually regulating banks. And since they seem to be regulating the government well enough, Big banks are out of control.",1
"Do We Still Need Libraries? What are libraries for, and how should they evolve? My library has many kinds of learning available and provides a community space for everyone, which I love. And since churches and other buildings don't offer the same things and the internet is full of free information, We need libraries.",0
"Do We Still Need Libraries? What are libraries for, and how should they evolve? My library has many kinds of learning available and provides a community space for everyone, which I love. And since churches and other buildings offer the same things and the internet is full of free information, We need libraries.",1
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Social mobility is stifled by unpaid internships. And since we don't need to keep some groups in their place socially, Unpaid internship exploit college students.",0
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Social mobility is stifled by unpaid internships. And since we should keep some groups in their place socially, Unpaid internship exploit college students.",1
"Do We Really Need FEMA? Should the states, or private companies, take over FEMA's responsibilities for emergency response. Disasters are locally handled by officials and neighbors. And since there is a way locals can do everything, We don't need FEMA.",0
"Do We Really Need FEMA? Should the states, or private companies, take over FEMA's responsibilities for emergency response. Disasters are locally handled by officials and neighbors. And since there is no way locals can do everything, We don't need FEMA.",1
"Is Obamacare Working? The law is starting to take effect. Were the dire predictions correct, or is it lowering costs and expanding access? Obamacare used low rates as a shell game to hide high deductibles and co-pays. And since I detest high deductibles because I often use my insurance, Obamacare is not working.",0
"Is Obamacare Working? The law is starting to take effect. Were the dire predictions correct, or is it lowering costs and expanding access? Obamacare used low rates as a shell game to hide high deductibles and co-pays. And since I prefer high deductibles because I don't use my insurance, Obamacare is not working.",1
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Unpaid interns are not just looking to gain experience. And since it gives you fear of losing your job, Unpaid internship exploit college students.",0
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Unpaid interns are not just looking to gain experience. And since it gives training on the job while not fearing losing your job, Unpaid internship exploit college students.",1
"To Tip or Not to Tip Should restaurants do away with tipping? Diners may not be able to select the server, but they can compensate them according to their service. And since this is fair because people will not be too picky or judgmental to offer a fair tip, To tip.",0
"To Tip or Not to Tip Should restaurants do away with tipping? Diners may not be able to select the server, but they can compensate them according to their service. And since this is unfair because people could be too picky or judgmental to offer a fair tip, To tip.",1
"Are People Getting Dumber? Sometimes when you turn on the TV, it's hard not to wonder: Is humanity devolving? People today lack common sense that cannot be taught. And since common sense has not been in short supply since Eve, People are getting dumber.",0
"Are People Getting Dumber? Sometimes when you turn on the TV, it's hard not to wonder: Is humanity devolving? People today lack common sense that cannot be taught. And since common sense has been in short supply since Eve, People are getting dumber.",1
"Should Home-Schoolers Play for High School Teams? Home-schoolers may not want their children in the classroom but they'd like to see them on the football field. Is that their right? They have paid for the right through taxes and deserve the chance to further their athletic abilities. And since even though people without children pay the taxes too, Home-schoolers should play for high school teams.",0
"Should Home-Schoolers Play for High School Teams? Home-schoolers may not want their children in the classroom but they'd like to see them on the football field. Is that their right? They have paid for the right through taxes and deserve the chance to further their athletic abilities. And since even people without children pay the taxes, Home-schoolers should play for high school teams.",1
"Do We Still Need Libraries? What are libraries for, and how should they evolve? Some people like a social place to read. And since some people need to be social to read, We need libraries.",0
"Do We Still Need Libraries? What are libraries for, and how should they evolve? Some people like a social place to read. And since people don't need to be social to read, We need libraries.",1
"Do We Need More Advice About Eating Well? Maybe Americans would be healthier if we understood nutrition better. Or maybe we know enough, and eat poorly for other reasons. Some kids are not taught by parents how to cook, and many schools have done away with home economics in favor of science and math. And since there isn't a large supply of information available online that anyone and everyone can access, We need more advice about eating well.",0
"Do We Need More Advice About Eating Well? Maybe Americans would be healthier if we understood nutrition better. Or maybe we know enough, and eat poorly for other reasons. Some kids are not taught by parents how to cook, and many schools have done away with home economics in favor of science and math. And since there is a large supply of information available online that anyone and everyone can access, We need more advice about eating well.",1
"Should Students Live on Campus or Off? Is living in a dormitory worth the expense? Does living elsewhere mean missing out on the ""college experience""? Most Americans live within commuting distance of universities. And since living on campus doesn't provide any additional experience that allows for social and personal growth, Students should live off campus.",0
"Should Students Live on Campus or Off? Is living in a dormitory worth the expense? Does living elsewhere mean missing out on the ""college experience""? Most Americans live within commuting distance of universities. And since living on campus provides experience that allows for social and personal growth that just isn't obtained by living off campus, Students should live off campus.",1
"Are Court Stenographers Necessary? After a New York court reporter left behind an incomplete record, some are asking whether it still makes sense to use stenographers in legal proceedings. Stenographers' work can be put into an app. And since apps are dependable and the best course of action is not to have a stenographer with an app used as backup, Court stenographers are not necessary.",0
"Are Court Stenographers Necessary? After a New York court reporter left behind an incomplete record, some are asking whether it still makes sense to use stenographers in legal proceedings. Stenographers' work can be put into an app. And since apps alone are not dependable and the best course of action is to have a stenographer with an app used as backup, Court stenographers are not necessary.",1
"Is 'Broken Windows' a Broken Policy for Police? Does strictly enforcing minor violations deter more serious crime or simply harass and antagonize residents of high-crime neighborhoods? Broken windows policing saves money and increases quality of life, a powerful achievement. And since the residents of the Broken windows policing feel their quality of life is improving, Strictly enforcing minor violations deter more serious crime.",0
"Is 'Broken Windows' a Broken Policy for Police? Does strictly enforcing minor violations deter more serious crime or simply harass and antagonize residents of high-crime neighborhoods? Broken windows policing saves money and increases quality of life, a powerful achievement. And since the residents of the Broken windows policing feel their quality of life is being lowered, Strictly enforcing minor violations deter more serious crime.",1
"Is an Attack on Syria Justified? Should the United States and its allies launch air strikes against Syria in response to the Assad regime's reported use of chemical weapons? Syria has hurt its own people and it should be addressed. And since it is the place of the US to be the watchdog of the world when plenty of our own are being mistreated, US should attack Syria.",0
"Is an Attack on Syria Justified? Should the United States and its allies launch air strikes against Syria in response to the Assad regime's reported use of chemical weapons? Syria has hurt its own people and it should be addressed. And since it is not the place of the US to be the watchdog of the world when plenty of our own are being mistreated, US should attack Syria.",1
"Has NATO Outlived Its Usefulness? With the Soviet Union gone and austerity challenging security, should we disband NATO? NATO is an organization without a purpose. And since NATO only looks good on paper, We should disband NATO.",0
"Has NATO Outlived Its Usefulness? With the Soviet Union gone and austerity challenging security, should we disband NATO? NATO is an organization without a purpose. And since NATO looks good on paper, We should disband NATO.",1
"Dropping the Ball Should more undergraduate schools follow in the footsteps of Spelman College and consider dropping intercollegiate sports programs? College sports make tuition higher. And since high tuition doesn't always mean more money to pay professors, Drop sports program in undergraduate schools.",0
"Dropping the Ball Should more undergraduate schools follow in the footsteps of Spelman College and consider dropping intercollegiate sports programs? College sports make tuition higher. And since high tuition means more money to pay professors, especially ones using Crowdsource platforms to do research, Drop sports program in undergraduate schools.",1
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Internships are abused by employers and they should be monitored for misuse. And since Unpaid internships are insufficiently regulated., Unpaid internship exploit college students.",0
"Do Unpaid Internships Exploit College Students? Should the government get tough to protect unpaid interns, or are internships a win-win? Internships are abused by employers and they should be monitored for misuse. And since Unpaid internships need to be regulated., Unpaid internship exploit college students.",1
"If Police Encounters Were Filmed Should police officers be required to wear cameras that record their interactions with the public? Police officers are occasionally untruthful or falsify evidence. And since officers lie at times, Police officers should be required to wear cameras.",0
"If Police Encounters Were Filmed Should police officers be required to wear cameras that record their interactions with the public? Police officers are occasionally untruthful or falsify evidence. And since everyone lies at times, Police officers should be required to wear cameras.",1
"Are School Librarians Expendable? States and cities are under severe budget constraints. They are turning to the library. Librarians ensure teachers have the necessary resources. And since the internet doesn't offer teachers all the resources they could need, School librarians are not expendable.",0
"Are School Librarians Expendable? States and cities are under severe budget constraints. They are turning to the library. Librarians ensure teachers have the necessary resources. And since the internet offers teachers all the resources they could need, School librarians are not expendable.",1
"Are the Olympics More Trouble Than They're Worth? London and Rio de Janeiro saw the Games as an opportunity. But will the cities change for the better, and at what cost? Hosting the Olympics is a waste of money. And since wasting money is a great way to hurt the economy, Olympics are more trouble.",0
"Are the Olympics More Trouble Than They're Worth? London and Rio de Janeiro saw the Games as an opportunity. But will the cities change for the better, and at what cost? Hosting the Olympics is a waste of money. And since wasting money is a great way to help the economy, Olympics are more trouble.",1
"When Companies Close Doors to the Future Should businesses be allowed to have new employees sign noncompete deals, agreeing to not to work for competitors? It is unsupportable for companies to suppress employees' future career options. And since a business shouldn't worry their employees becoming their next competitor, Businesses should not be allowed to have new employees sign noncompete deals.",0
"When Companies Close Doors to the Future Should businesses be allowed to have new employees sign noncompete deals, agreeing to not to work for competitors? It is unsupportable for companies to suppress employees' future career options. And since a business should worry their employees becoming their next competitor, Businesses should not be allowed to have new employees sign noncompete deals.",1
"Will 3-D Printing Change the World? For all the hype over three-dimensional printing, it's still unclear exactly how and when it will have an impact on our daily lives. Economic growth needs innovation. And since there is much innovation in 3-d printing and it is sustainable, 3-D printing will change the world.",0
"Will 3-D Printing Change the World? For all the hype over three-dimensional printing, it's still unclear exactly how and when it will have an impact on our daily lives. Economic growth needs innovation. And since there is no innovation in 3-d printing since it's unsustainable, 3-D printing will change the world.",1
"To Tip or Not to Tip Should restaurants do away with tipping? Tipping rewards entrepreneurial spirit and hard work. And since society needs entrepreneurs more than rank and file workers,, To tip.",0
"To Tip or Not to Tip Should restaurants do away with tipping? Tipping rewards entrepreneurial spirit and hard work. And since society needs rank and file workers more than entrepreneurs, To tip.",1
